fold,item_id,store_id,train_time_s,peak_ram_mb,cpu_percent,converged,error_msg
1,ITEM_001,STORE_01,15.135621,128.37,307.8,True,
1,ITEM_001,STORE_02,15.135621,128.37,307.8,True,
1,ITEM_001,STORE_03,15.135621,128.37,307.8,True,
1,ITEM_002,STORE_01,15.135621,128.37,307.8,True,
1,ITEM_002,STORE_02,15.135621,128.37,307.8,True,
1,ITEM_002,STORE_03,15.135621,128.37,307.8,True,
1,ITEM_003,STORE_01,15.135621,128.37,307.8,True,
1,ITEM_003,STORE_02,15.135621,128.37,307.8,True,
1,ITEM_003,STORE_03,15.135621,128.37,307.8,True,
1,ITEM_004,STORE_01,15.135621,128.37,307.8,True,
1,ITEM_004,STORE_02,15.135621,128.37,307.8,True,
1,ITEM_004,STORE_03,15.135621,128.37,307.8,True,
1,ITEM_005,STORE_01,15.135621,128.37,307.8,True,
1,ITEM_005,STORE_02,15.135621,128.37,307.8,True,
1,ITEM_005,STORE_03,15.135621,128.37,307.8,True,
1,ITEM_006,STORE_01,15.135621,128.37,307.8,True,
1,ITEM_006,STORE_02,15.135621,128.37,307.8,True,
1,ITEM_006,STORE_03,15.135621,128.37,307.8,True,
1,ITEM_007,STORE_01,15.135621,128.37,307.8,True,
1,ITEM_007,STORE_02,15.135621,128.37,307.8,True,
1,ITEM_007,STORE_03,15.135621,128.37,307.8,True,
1,ITEM_008,STORE_01,15.135621,128.37,307.8,True,
1,ITEM_008,STORE_02,15.135621,128.37,307.8,True,
1,ITEM_008,STORE_03,15.135621,128.37,307.8,True,
1,ITEM_009,STORE_01,15.135621,128.37,307.8,True,
1,ITEM_009,STORE_02,15.135621,128.37,307.8,True,
1,ITEM_009,STORE_03,15.135621,128.37,307.8,True,
1,ITEM_010,STORE_01,15.135621,128.37,307.8,True,
1,ITEM_010,STORE_02,15.135621,128.37,307.8,True,
1,ITEM_010,STORE_03,15.135621,128.37,307.8,True,
2,ITEM_001,STORE_01,12.895642,4.87,281.8,True,
2,ITEM_001,STORE_02,12.895642,4.87,281.8,True,
2,ITEM_001,STORE_03,12.895642,4.87,281.8,True,
2,ITEM_002,STORE_01,12.895642,4.87,281.8,True,
2,ITEM_002,STORE_02,12.895642,4.87,281.8,True,
2,ITEM_002,STORE_03,12.895642,4.87,281.8,True,
2,ITEM_003,STORE_01,12.895642,4.87,281.8,True,
2,ITEM_003,STORE_02,12.895642,4.87,281.8,True,
2,ITEM_003,STORE_03,12.895642,4.87,281.8,True,
2,ITEM_004,STORE_01,12.895642,4.87,281.8,True,
2,ITEM_004,STORE_02,12.895642,4.87,281.8,True,
2,ITEM_004,STORE_03,12.895642,4.87,281.8,True,
2,ITEM_005,STORE_01,12.895642,4.87,281.8,True,
2,ITEM_005,STORE_02,12.895642,4.87,281.8,True,
2,ITEM_005,STORE_03,12.895642,4.87,281.8,True,
2,ITEM_006,STORE_01,12.895642,4.87,281.8,True,
2,ITEM_006,STORE_02,12.895642,4.87,281.8,True,
2,ITEM_006,STORE_03,12.895642,4.87,281.8,True,
2,ITEM_007,STORE_01,12.895642,4.87,281.8,True,
2,ITEM_007,STORE_02,12.895642,4.87,281.8,True,
2,ITEM_007,STORE_03,12.895642,4.87,281.8,True,
2,ITEM_008,STORE_01,12.895642,4.87,281.8,True,
2,ITEM_008,STORE_02,12.895642,4.87,281.8,True,
2,ITEM_008,STORE_03,12.895642,4.87,281.8,True,
2,ITEM_009,STORE_01,12.895642,4.87,281.8,True,
2,ITEM_009,STORE_02,12.895642,4.87,281.8,True,
2,ITEM_009,STORE_03,12.895642,4.87,281.8,True,
2,ITEM_010,STORE_01,12.895642,4.87,281.8,True,
2,ITEM_010,STORE_02,12.895642,4.87,281.8,True,
2,ITEM_010,STORE_03,12.895642,4.87,281.8,True,
3,ITEM_001,STORE_01,16.4779,7.53,69.4,True,
3,ITEM_001,STORE_02,16.4779,7.53,69.4,True,
3,ITEM_001,STORE_03,16.4779,7.53,69.4,True,
3,ITEM_002,STORE_01,16.4779,7.53,69.4,True,
3,ITEM_002,STORE_02,16.4779,7.53,69.4,True,
3,ITEM_002,STORE_03,16.4779,7.53,69.4,True,
3,ITEM_003,STORE_01,16.4779,7.53,69.4,True,
3,ITEM_003,STORE_02,16.4779,7.53,69.4,True,
3,ITEM_003,STORE_03,16.4779,7.53,69.4,True,
3,ITEM_004,STORE_01,16.4779,7.53,69.4,True,
3,ITEM_004,STORE_02,16.4779,7.53,69.4,True,
3,ITEM_004,STORE_03,16.4779,7.53,69.4,True,
3,ITEM_005,STORE_01,16.4779,7.53,69.4,True,
3,ITEM_005,STORE_02,16.4779,7.53,69.4,True,
3,ITEM_005,STORE_03,16.4779,7.53,69.4,True,
3,ITEM_006,STORE_01,16.4779,7.53,69.4,True,
3,ITEM_006,STORE_02,16.4779,7.53,69.4,True,
3,ITEM_006,STORE_03,16.4779,7.53,69.4,True,
3,ITEM_007,STORE_01,16.4779,7.53,69.4,True,
3,ITEM_007,STORE_02,16.4779,7.53,69.4,True,
3,ITEM_007,STORE_03,16.4779,7.53,69.4,True,
3,ITEM_008,STORE_01,16.4779,7.53,69.4,True,
3,ITEM_008,STORE_02,16.4779,7.53,69.4,True,
3,ITEM_008,STORE_03,16.4779,7.53,69.4,True,
3,ITEM_009,STORE_01,16.4779,7.53,69.4,True,
3,ITEM_009,STORE_02,16.4779,7.53,69.4,True,
3,ITEM_009,STORE_03,16.4779,7.53,69.4,True,
3,ITEM_010,STORE_01,16.4779,7.53,69.4,True,
3,ITEM_010,STORE_02,16.4779,7.53,69.4,True,
3,ITEM_010,STORE_03,16.4779,7.53,69.4,True,
4,ITEM_001,STORE_01,11.258802,3.37,294.9,True,
4,ITEM_001,STORE_02,11.258802,3.37,294.9,True,
4,ITEM_001,STORE_03,11.258802,3.37,294.9,True,
4,ITEM_002,STORE_01,11.258802,3.37,294.9,True,
4,ITEM_002,STORE_02,11.258802,3.37,294.9,True,
4,ITEM_002,STORE_03,11.258802,3.37,294.9,True,
4,ITEM_003,STORE_01,11.258802,3.37,294.9,True,
4,ITEM_003,STORE_02,11.258802,3.37,294.9,True,
4,ITEM_003,STORE_03,11.258802,3.37,294.9,True,
4,ITEM_004,STORE_01,11.258802,3.37,294.9,True,
4,ITEM_004,STORE_02,11.258802,3.37,294.9,True,
4,ITEM_004,STORE_03,11.258802,3.37,294.9,True,
4,ITEM_005,STORE_01,11.258802,3.37,294.9,True,
4,ITEM_005,STORE_02,11.258802,3.37,294.9,True,
4,ITEM_005,STORE_03,11.258802,3.37,294.9,True,
4,ITEM_006,STORE_01,11.258802,3.37,294.9,True,
4,ITEM_006,STORE_02,11.258802,3.37,294.9,True,
4,ITEM_006,STORE_03,11.258802,3.37,294.9,True,
4,ITEM_007,STORE_01,11.258802,3.37,294.9,True,
4,ITEM_007,STORE_02,11.258802,3.37,294.9,True,
4,ITEM_007,STORE_03,11.258802,3.37,294.9,True,
4,ITEM_008,STORE_01,11.258802,3.37,294.9,True,
4,ITEM_008,STORE_02,11.258802,3.37,294.9,True,
4,ITEM_008,STORE_03,11.258802,3.37,294.9,True,
4,ITEM_009,STORE_01,11.258802,3.37,294.9,True,
4,ITEM_009,STORE_02,11.258802,3.37,294.9,True,
4,ITEM_009,STORE_03,11.258802,3.37,294.9,True,
4,ITEM_010,STORE_01,11.258802,3.37,294.9,True,
4,ITEM_010,STORE_02,11.258802,3.37,294.9,True,
4,ITEM_010,STORE_03,11.258802,3.37,294.9,True,
5,ITEM_001,STORE_01,18.204711,3.88,120.2,True,
5,ITEM_001,STORE_02,18.204711,3.88,120.2,True,
5,ITEM_001,STORE_03,18.204711,3.88,120.2,True,
5,ITEM_002,STORE_01,18.204711,3.88,120.2,True,
5,ITEM_002,STORE_02,18.204711,3.88,120.2,True,
5,ITEM_002,STORE_03,18.204711,3.88,120.2,True,
5,ITEM_003,STORE_01,18.204711,3.88,120.2,True,
5,ITEM_003,STORE_02,18.204711,3.88,120.2,True,
5,ITEM_003,STORE_03,18.204711,3.88,120.2,True,
5,ITEM_004,STORE_01,18.204711,3.88,120.2,True,
5,ITEM_004,STORE_02,18.204711,3.88,120.2,True,
