model,phase,item_id,store_id,fold,mae,rmse,mase,mape
lstm,2,FOODS_1_218,TX_2,1,9.346076352255684,11.321571366519759,0.8435119863486895,309.2286166187019
lstm,2,FOODS_2_197,CA_1,1,4.378282410757882,5.340675749398228,0.4220937886621271,25.295461073563846
lstm,2,FOODS_2_197,CA_3,1,3.3334742273603166,4.152386539828672,0.3111108150478468,32.61521416785436
lstm,2,FOODS_2_276,CA_3,1,4.219489199774606,5.159907392707983,0.42270252252978274,43.65596641941358
lstm,2,FOODS_2_360,CA_3,1,6.548119353396552,7.8607757853134705,0.5008085663638137,
lstm,2,FOODS_2_360,TX_3,1,10.03365044934409,12.045679208047826,0.935725865665856,
lstm,2,FOODS_2_360,WI_2,1,55.16116340458393,86.51215706164007,2.797504341659402,
lstm,2,FOODS_3_007,WI_2,1,7.023674411433084,8.19906344743015,0.2460692231434803,
lstm,2,FOODS_3_030,TX_2,1,6.771911212376187,8.532841904196498,0.5937852986313747,45.72571179292622
lstm,2,FOODS_3_030,TX_3,1,10.173115457807269,11.681181029292912,0.8607019248743603,62.23826435762005
lstm,2,FOODS_3_080,CA_1,1,7.877816881452288,8.92737896061247,1.2001513619397683,53.68173471262535
lstm,2,FOODS_3_080,TX_2,1,5.0164481571742465,5.777655478914459,0.8143698946614217,32.254920405331276
lstm,2,FOODS_3_090,CA_1,1,12.23690550667899,15.462404617265651,0.4091494236427531,24.126685901875213
lstm,2,FOODS_3_090,CA_2,1,12.268637793404716,14.220066165077682,0.8642582035162174,44.94038549827573
lstm,2,FOODS_3_090,CA_3,1,22.70435115269252,25.173891907450347,0.4274298120830929,20.56513431864817
lstm,2,FOODS_3_090,CA_4,1,6.210589136396136,7.449440575923552,0.5061776448183368,25.75438899059696
lstm,2,FOODS_3_090,TX_1,1,13.594603402273995,18.049482838558117,0.5358976679787283,20.195702270978146
lstm,2,FOODS_3_090,TX_2,1,11.425817217145648,13.793818325337881,0.39893589747871494,21.23583167490952
lstm,2,FOODS_3_090,TX_3,1,16.499552862984793,19.883069555628843,0.628266695796936,26.44134375859892
lstm,2,FOODS_3_090,WI_3,1,19.967394420078822,25.716437984501372,0.740867301532782,25.033562426954468
lstm,2,FOODS_3_099,TX_2,1,7.348892620631626,9.479171674567775,1.050003878100281,59.37281464675285
lstm,2,FOODS_3_120,CA_1,1,23.83666706085205,24.306536523203306,1.3984681689266925,
lstm,2,FOODS_3_120,CA_3,1,34.1000326701573,35.18137037744241,2.1143322437430463,
lstm,2,FOODS_3_120,WI_3,1,13.933400477681841,15.340062892059995,1.4463169742142825,
lstm,2,FOODS_3_202,CA_3,1,8.700284004211426,9.428842537374155,0.7934288659306966,51.02619439512678
lstm,2,FOODS_3_202,TX_1,1,5.70272159576416,6.187159522852603,0.585811514166128,29.20292242120825
lstm,2,FOODS_3_202,TX_2,1,3.755060604640416,4.719596412599846,0.3488565137115745,20.149064072437614
lstm,2,FOODS_3_202,TX_3,1,5.236711638314383,5.823018714539804,0.5461854534580449,17.344868505275127
lstm,2,FOODS_3_226,WI_1,1,5.040234293256487,6.931993177347027,0.5123269454595144,13.670230012609903
lstm,2,FOODS_3_226,WI_2,1,8.242481776646207,9.604485821515667,0.787978192778232,18.684628624234197
