fold,item_id,store_id,train_time_s,peak_ram_mb,cpu_percent,converged,error_msg
1,ITEM_001,STORE_01,0.187082,3.69,8.3,True,
1,ITEM_001,STORE_02,0.126683,0.11,25.0,True,
1,ITEM_001,STORE_03,0.119494,0.07,28.7,True,
1,ITEM_002,STORE_01,0.128804,0.12,12.5,True,
1,ITEM_002,STORE_02,0.125751,0.04,12.5,True,
1,ITEM_002,STORE_03,0.136736,0.05,22.2,True,
1,ITEM_003,STORE_01,0.126324,0.06,37.5,True,
1,ITEM_003,STORE_02,0.134678,0.06,33.5,True,
1,ITEM_003,STORE_03,0.132153,0.1,44.3,True,
1,ITEM_004,STORE_01,0.12488,0.04,37.5,True,
1,ITEM_004,STORE_02,0.130249,0.1,37.5,True,
1,ITEM_004,STORE_03,0.118881,0.04,0.0,True,
1,ITEM_005,STORE_01,0.11671,0.04,25.0,True,
1,ITEM_005,STORE_02,0.123471,0.04,25.0,True,
1,ITEM_005,STORE_03,0.115252,0.04,12.5,True,
1,ITEM_006,STORE_01,0.125974,0.1,0.0,True,
1,ITEM_006,STORE_02,0.12711,0.04,25.0,True,
1,ITEM_006,STORE_03,0.119388,0.04,25.0,True,
1,ITEM_007,STORE_01,0.122862,0.04,25.0,True,
1,ITEM_007,STORE_02,0.120179,0.04,37.5,True,
1,ITEM_007,STORE_03,0.125245,0.04,12.5,True,
1,ITEM_008,STORE_01,0.128618,0.04,25.0,True,
1,ITEM_008,STORE_02,0.137749,0.04,33.2,True,
1,ITEM_008,STORE_03,0.136181,0.04,22.3,True,
1,ITEM_009,STORE_01,0.122217,0.04,25.0,True,
1,ITEM_009,STORE_02,0.126318,0.04,12.5,True,
1,ITEM_009,STORE_03,0.119173,0.04,12.5,True,
1,ITEM_010,STORE_01,0.116345,0.04,0.0,True,
1,ITEM_010,STORE_02,0.122845,0.04,12.5,True,
1,ITEM_010,STORE_03,0.133605,0.04,11.2,True,
2,ITEM_001,STORE_01,0.117312,0.04,25.0,True,
2,ITEM_001,STORE_02,0.131773,0.04,25.0,True,
2,ITEM_001,STORE_03,0.131355,0.04,37.5,True,
2,ITEM_002,STORE_01,0.128494,0.04,11.1,True,
2,ITEM_002,STORE_02,0.121244,0.04,25.0,True,
2,ITEM_002,STORE_03,0.133291,0.04,22.3,True,
2,ITEM_003,STORE_01,0.115459,0.04,25.0,True,
2,ITEM_003,STORE_02,0.139419,0.04,22.2,True,
2,ITEM_003,STORE_03,0.123634,0.04,0.0,True,
2,ITEM_004,STORE_01,0.119771,0.04,12.5,True,
2,ITEM_004,STORE_02,0.190591,0.04,0.0,True,
2,ITEM_004,STORE_03,0.118263,0.04,28.7,True,
2,ITEM_005,STORE_01,0.127983,0.04,25.0,True,
2,ITEM_005,STORE_02,0.119353,0.04,37.5,True,
2,ITEM_005,STORE_03,0.120076,0.04,25.0,True,
2,ITEM_006,STORE_01,0.12121,0.04,37.5,True,
2,ITEM_006,STORE_02,0.116949,0.04,25.0,True,
2,ITEM_006,STORE_03,0.122535,0.04,25.0,True,
2,ITEM_007,STORE_01,0.121783,0.04,28.7,True,
2,ITEM_007,STORE_02,0.123508,0.04,37.5,True,
2,ITEM_007,STORE_03,0.11377,0.04,28.7,True,
2,ITEM_008,STORE_01,0.171289,0.04,0.0,True,
2,ITEM_008,STORE_02,0.153339,0.04,11.2,True,
2,ITEM_008,STORE_03,0.120668,0.04,43.0,True,
2,ITEM_009,STORE_01,0.143158,0.04,22.3,True,
2,ITEM_009,STORE_02,0.119886,0.04,25.0,True,
2,ITEM_009,STORE_03,0.116802,0.04,12.5,True,
2,ITEM_010,STORE_01,0.129903,0.04,37.5,True,
2,ITEM_010,STORE_02,0.12994,0.04,22.2,True,
2,ITEM_010,STORE_03,0.134909,0.04,0.0,True,
3,ITEM_001,STORE_01,0.140852,0.1,33.2,True,
3,ITEM_001,STORE_02,0.130231,0.04,25.0,True,
3,ITEM_001,STORE_03,0.12759,0.04,25.0,True,
3,ITEM_002,STORE_01,0.137938,0.04,22.3,True,
3,ITEM_002,STORE_02,0.160256,0.1,0.0,True,
3,ITEM_002,STORE_03,0.128706,0.04,22.2,True,
3,ITEM_003,STORE_01,0.129979,0.04,0.0,True,
3,ITEM_003,STORE_02,0.131402,0.04,11.1,True,
3,ITEM_003,STORE_03,0.120851,0.04,12.5,True,
3,ITEM_004,STORE_01,0.130136,0.04,25.0,True,
3,ITEM_004,STORE_02,0.139357,0.04,22.3,True,
3,ITEM_004,STORE_03,0.128712,0.04,22.2,True,
