fold,item_id,store_id,train_time_s,peak_ram_mb,cpu_percent,converged,error_msg
1,ITEM_001,STORE_01,6.872891,71.45,1.6,True,
1,ITEM_001,STORE_02,4.314564,0.0,1.1,True,
1,ITEM_001,STORE_03,2.212836,3.34,0.7,True,
1,ITEM_002,STORE_01,4.412142,0.0,1.1,True,
1,ITEM_002,STORE_02,4.184897,0.8,0.0,True,
1,ITEM_002,STORE_03,2.782271,3.14,0.0,True,
1,ITEM_003,STORE_01,4.559993,0.0,0.0,True,
1,ITEM_003,STORE_02,4.822839,1.31,0.3,True,
1,ITEM_003,STORE_03,8.011487,0.0,1.0,True,
1,ITEM_004,STORE_01,2.73416,2.49,2.3,True,
1,ITEM_004,STORE_02,4.347842,0.0,0.0,True,
1,ITEM_004,STORE_03,4.636222,1.38,1.0,True,
1,ITEM_005,STORE_01,4.935303,0.0,0.9,True,
1,ITEM_005,STORE_02,3.906274,0.0,0.8,True,
1,ITEM_005,STORE_03,5.227045,0.14,0.3,True,
1,ITEM_006,STORE_01,6.638267,1.12,1.6,True,
1,ITEM_006,STORE_02,4.920272,0.0,0.3,True,
1,ITEM_006,STORE_03,3.82261,1.72,0.4,True,
1,ITEM_007,STORE_01,3.750367,0.0,0.0,True,
1,ITEM_007,STORE_02,4.052292,0.65,0.8,True,
1,ITEM_007,STORE_03,7.817144,0.0,0.8,True,
1,ITEM_008,STORE_01,3.27778,2.77,0.5,True,
1,ITEM_008,STORE_02,5.245037,1.27,0.9,True,
1,ITEM_008,STORE_03,5.475783,2.51,0.3,True,
1,ITEM_009,STORE_01,3.694744,0.0,0.4,True,
1,ITEM_009,STORE_02,3.369475,3.02,1.4,True,
1,ITEM_009,STORE_03,4.104825,0.0,0.4,True,
1,ITEM_010,STORE_01,4.171796,0.0,0.4,True,
1,ITEM_010,STORE_02,3.440174,1.82,1.4,True,
1,ITEM_010,STORE_03,2.261467,0.0,2.1,True,
2,ITEM_001,STORE_01,4.677762,0.0,1.0,True,
2,ITEM_001,STORE_02,4.203484,0.0,0.7,True,
2,ITEM_001,STORE_03,4.323695,0.0,1.4,True,
2,ITEM_002,STORE_01,4.453544,0.43,2.8,True,
2,ITEM_002,STORE_02,4.695228,1.51,0.7,True,
2,ITEM_002,STORE_03,3.021317,0.96,1.0,True,
2,ITEM_003,STORE_01,4.520988,36.3,1.0,True,
2,ITEM_003,STORE_02,5.000499,0.0,0.9,True,
2,ITEM_003,STORE_03,7.901294,0.0,1.0,True,
2,ITEM_004,STORE_01,2.696108,6.75,1.2,True,
2,ITEM_004,STORE_02,4.252612,0.0,2.9,True,
2,ITEM_004,STORE_03,7.545943,0.95,1.9,True,
2,ITEM_005,STORE_01,7.186796,2.7,0.9,True,
2,ITEM_005,STORE_02,3.909763,35.99,0.8,True,
2,ITEM_005,STORE_03,4.944484,0.0,2.5,True,
2,ITEM_006,STORE_01,2.25774,41.5,0.7,True,
2,ITEM_006,STORE_02,5.279714,3.69,4.4,True,
2,ITEM_006,STORE_03,3.955672,0.0,2.0,True,
2,ITEM_007,STORE_01,3.933112,41.79,2.4,True,
2,ITEM_007,STORE_02,4.095875,1.79,1.5,True,
2,ITEM_007,STORE_03,7.924553,0.0,2.0,True,
2,ITEM_008,STORE_01,4.638734,40.44,3.0,True,
2,ITEM_008,STORE_02,5.459657,3.4,0.3,True,
2,ITEM_008,STORE_03,3.925343,0.0,1.2,True,
2,ITEM_009,STORE_01,4.015499,6.95,1.2,True,
2,ITEM_009,STORE_02,2.355721,0.0,0.7,True,
2,ITEM_009,STORE_03,4.294406,0.0,1.5,True,
2,ITEM_010,STORE_01,3.956337,44.84,4.0,True,
2,ITEM_010,STORE_02,3.487085,1.38,3.1,True,
2,ITEM_010,STORE_03,2.082514,0.35,4.5,True,
3,ITEM_001,STORE_01,4.965077,5.99,4.1,True,
3,ITEM_001,STORE_02,4.370636,0.0,7.1,True,
3,ITEM_001,STORE_03,4.624595,0.0,2.4,True,
3,ITEM_002,STORE_01,4.863245,0.0,1.0,True,
3,ITEM_002,STORE_02,4.659229,50.59,22.1,True,
3,ITEM_002,STORE_03,5.156032,0.0,15.2,True,
3,ITEM_003,STORE_01,4.727683,44.14,11.2,True,
3,ITEM_003,STORE_02,4.857999,1.3,1.6,True,
3,ITEM_003,STORE_03,4.312164,0.0,3.6,True,
3,ITEM_004,STORE_01,2.957213,0.0,4.8,True,
3,ITEM_004,STORE_02,5.081499,4.63,5.5,True,
3,ITEM_004,STORE_03,7.926375,7.74,3.0,True,
3,ITEM_005,STORE_01,4.978966,0.0,6.3,True,
3,ITEM_005,STORE_02,4.237563,50.96,2.2,True,
3,ITEM_005,STORE_03,4.567579,6.25,2.0,True,
3,ITEM_006,STORE_01,2.94987,0.51,0.0,True,
3,ITEM_006,STORE_02,5.119938,0.0,4.6,True,
3,ITEM_006,STORE_03,3.761954,0.0,5.4,True,
3,ITEM_007,STORE_01,4.056593,0.0,3.9,True,
3,ITEM_007,STORE_02,4.313258,36.94,2.2,True,
3,ITEM_007,STORE_03,3.412832,1.98,2.8,True,
3,ITEM_008,STORE_01,4.775935,7.56,2.6,True,
3,ITEM_008,STORE_02,5.861296,0.16,2.4,True,
3,ITEM_008,STORE_03,8.761514,0.0,1.1,True,
3,ITEM_009,STORE_01,3.959868,6.28,2.0,True,
3,ITEM_009,STORE_02,3.094867,0.26,3.5,True,
3,ITEM_009,STORE_03,4.377853,0.0,1.1,True,
3,ITEM_010,STORE_01,3.974288,2.16,1.2,True,
3,ITEM_010,STORE_02,3.335923,0.0,0.5,True,
3,ITEM_010,STORE_03,2.229573,0.07,2.1,True,
4,ITEM_001,STORE_01,4.754133,0.0,0.0,True,
4,ITEM_001,STORE_02,4.422914,0.0,1.4,True,
4,ITEM_001,STORE_03,3.220625,40.05,1.0,True,
